Basin,Water Supply Source,Class,Type,Owner/Operator Utilizing Source,County,Permitted Monthly Average Day Withdrawal (MGD),Actual Monthly Average Withdrawals 2019 (MGD)
Coosa_Etowah Basin,Groundwater,Groundwater,Groundwater,City of Kingston,Bartow,0.15,0.12
Coosa_Etowah Basin,Groundwater,Groundwater,Groundwater,City of White,Bartow,0.2,0.1
Coosa_Etowah Basin,Groundwater,Groundwater,Groundwater,City of Ball Ground,Cherokee,0.25,0.22
Coosa_Etowah Basin,Groundwater,Groundwater,Groundwater,City of Woodstock,Cherokee,0.71,0.36
Coosa_Etowah Basin,Groundwater,Groundwater,Groundwater,Lake Arrowhead Utility,Cherokee,0.5,0.26
Flint Basin,Groundwater,Groundwater,Groundwater,Clayton County Water Authority,Clayton,0.4,0.03
Chattahoochee Basin,Groundwater,Groundwater,Groundwater,Coweta County Water & Sewer Department,Coweta,0.504,NA
Flint Basin,Groundwater,Groundwater,Groundwater,City of Senoia,Coweta,0.233,0.15
Flint Basin,Groundwater,Groundwater,Groundwater,Shoal Creek Forest Subdivision,Coweta,0.15,0.04
Flint Basin,Groundwater,Groundwater,Groundwater,City of Fayetteville,Fayette,1.3,0.86
Chattahoochee Basin,Groundwater,Groundwater,Groundwater,Forsyth County Department of Water & Sewer,Forsyth,0.742,0.02
Chattahoochee Basin,Groundwater,Groundwater,Groundwater,City of College Park,Fulton,0.6,0.29
Chattahoochee Basin,Groundwater,Groundwater,Groundwater,City of Roswell,Fulton,0.167,NA
Oconee Basin,Groundwater,Groundwater,Groundwater,City of Flowery Branch,Hall,0.7,0.24
Oconee Basin,Groundwater,Groundwater,Groundwater,City of Lula,Hall,0.5,0.18
Ocmulgee Basin,Groundwater,Groundwater,Groundwater,City of Hampton,Henry,0.369,0.11
Ocmulgee Basin,Groundwater,Groundwater,Groundwater,City of Locust Grove,Henry,1.2,0.21
Ocmulgee Basin,Groundwater,Groundwater,Groundwater,City of McDonough,Henry,0.3,0.02
Ocmulgee Basin,Groundwater,Groundwater,Groundwater,City of Stockbridge,Henry,0.75,0.34
Coosa_Etowah Basin,Groundwater,Groundwater,Groundwater,City of Dallas,Paulding,0.202,0.03
Ocmulgee Basin,Groundwater,Groundwater,Groundwater,PoyntSource Solutions Inc,Rockdale,0.255,0.08